1,electrical engineer,process engineer,mechanical engineering,chemical engineering,sheet metal,preventive maintenance,electrical plumbing, building engineering
2,timely fashion,innovative photographer,organize fashion,fashion designer,vintage merchandise,customer service,develop execution
3,staff pharmacist,clinical pharmacist,pharmacy manager,pharmacy intern,pharmacy technician,drug information
4,authorized housekeeping,housekeeping supervisor,timely fashion,light housekeeping,home health,responsibilities cleaning
5,software engineer,sql server,web services,computer science,operating systems,test cases
6,customer service,sales associate,store manager,store manager,call center,excellent customer


